id,prompt,answer,category,num_examples,example_symbols,example_char_operation_mapping,example_char_operation_mapping_json,question_char_operation_mapping,question_char_operation_mapping_json,example_logic,question_logic,example_has_prefix,example_has_suffix,question_has_prefix,question_has_suffix,example_has_negative,question_is_negative,example_offset_summary_exact_op,example_offset_summary_family,question_offset,question_best_family,question_best_exact_op,New Operations,row_has_outlier_example,row_outlier_example_count,row_has_complex_example,row_complex_example_count,diff_example_prefix_when_positive,diff_example_suffix_when_positive,diff_example_prefix_only_negative,question_output_style,question_raw_answer,question_clean_answer
ada823ac,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
14#13 = #26
21#37 = #57
39#74 = #112
Now, determine the result for: 87&13",1131,numeric_math_guess,3,#;#;#,"#: Add (pure, -1)","{""#"": {""symbol"": ""#"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": -1, ""support"": 3, ""candidate_count"": 20, ""best_candidates"": [[[""add"", ""direct"", -1], 3], [[""add-1"", ""direct"", -1], 3], [[""add+1"", ""direct"", -1], 3], [[""digit_add_mod10"", ""direct"", -1], 3], [[""cross_mul_rev"", ""direct"", -1], 3]]}}","&: Mul (pure, 0)","{""symbol"": ""&"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,True,False,False,False,False,False,add: -1,add: -1,0,mul,Mul,Mul,False,0,True,1,True,False,False,plain,1131,1131
95e0eb5c,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
89;56 = 34
83;34 = 50
18;15 = 04
94;39 = 56
47;20 = 28
Now, determine the result for: 39{22",858,numeric_math_guess,5,;;;;;;;;;,";: Sub (pure, 1)","{"";"": {""symbol"": "";"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": 1, ""support"": 5, ""candidate_count"": 15, ""best_candidates"": [[[""sub"", ""direct"", 1], 5], [[""sub-1"", ""direct"", 1], 5], [[""sub+1"", ""direct"", 1], 5], [[""absdiff"", ""direct"", 1], 5], [[""rabs"", ""direct"", 1], 5]]}}","{: Mul (pure, 0)","{""symbol"": ""{"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,sub: 1,diff: 1,0,mul,Mul,Mul,False,0,True,1,False,False,False,plain,858,858
13df3464,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
41%30 = 21
69%58 = 21
44[91 = 26
98[81 = 601
Now, determine the result for: 38:97",7556,numeric_math_guess,4,%;%;[;[,"%: Sub (reverse, 1) ; [: Add (reverse, -1)","{""["": {""symbol"": ""["", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 2, ""candidate_count"": 13, ""best_candidates"": [[[""add"", ""reverse"", -1], 2], [[""add-1"", ""reverse"", -1], 2], [[""add+1"", ""reverse"", -1], 2], [[""digit_add_mod10"", ""reverse"", -1], 2], [[""cross_mul_rev"", ""reverse"", -1], 2]]}, ""%"": {""symbol"": ""%"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 4, ""best_candidates"": [[[""sub"", ""reverse"", 1], 2], [[""sub-1"", ""reverse"", 1], 2], [[""sub+1"", ""reverse"", 1], 2], [[""absdiff"", ""reverse"", 1], 2], [[""rabs"", ""reverse"", 1], 2]]}}",":: Mul (reverse, 0)","{""symbol"": "":"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,False,False,False,False,False,add: -1; sub: 1,add: -1; diff: 1,0,mul,Mul,Mul,False,0,True,4,False,False,False,plain,7556,7556
eede71fd,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
61%56 = 04
38;27 = 66
75%73 = 01
Now, determine the result for: 21)16",336,numeric_math_guess,3,%;;;%,"%: Sub (pure, -1) ; ;: Add (pure, 1)","{""%"": {""symbol"": ""%"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": -1, ""support"": 2, ""candidate_count"": 6, ""best_candidates"": [[[""sub"", ""direct"", -1], 2], [[""sub-1"", ""direct"", -1], 2], [[""sub+1"", ""direct"", -1], 2], [[""absdiff"", ""direct"", -1], 2], [[""rabs"", ""direct"", -1], 2]]}, "";"": {""symbol"": "";"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 1, ""support"": 1, ""candidate_count"": 7, ""best_candidates"": [[[""add"", ""direct"", 1], 1], [[""add-1"", ""direct"", 1], 1], [[""add+1"", ""direct"", 1], 1], [[""digit_add_mod10"", ""direct"", 1], 1], [[""cross_mul_rev"", ""direct"", 1], 1]]}}","): Mul (pure, 0)","{""symbol"": "")"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,add: 1; sub: -1,add: 1; diff: -1,0,mul,Mul,Mul,False,0,True,2,False,False,False,plain,336,336
46944384,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
30]17 = 12]
75]20 = 54]
33]18 = 14]
86]18 = 67]
Now, determine the result for: 96;40",3840,numeric_math_guess,4,];];];],"]: Sub (pure, -1)","{""]"": {""symbol"": ""]"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": -1, ""support"": 4, ""candidate_count"": 15, ""best_candidates"": [[[""sub"", ""direct"", -1], 4], [[""sub-1"", ""direct"", -1], 4], [[""sub+1"", ""direct"", -1], 4], [[""absdiff"", ""direct"", -1], 4], [[""rabs"", ""direct"", -1], 4]]}}",";: Mul (pure, 0)","{""symbol"": "";"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,True,False,False,False,False,sub: -1,diff: -1,0,mul,Mul,Mul,False,0,False,0,False,True,False,plain,3840,3840
52e34621,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
50!40 = !11
43!60 = !18
26!95 = !70
92!48 = !45
68!50 = !19
Now, determine the result for: 19^11",209,numeric_math_guess,5,!;!;!;!;!,"!: AbsDiff (pure, 1)","{""!"": {""symbol"": ""!"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 1, ""support"": 5, ""candidate_count"": 17, ""best_candidates"": [[[""absdiff"", ""direct"", 1], 5], [[""rabs"", ""direct"", 1], 5], [[""rsub"", ""direct"", 1], 5], [[""rmod"", ""direct"", 1], 5], [[""maxmodmin"", ""direct"", 1], 5]]}}","^: Mul (pure, 0)","{""symbol"": ""^"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,True,False,False,False,False,False,absdiff: 1,diff: 1,0,mul,Mul,Mul,False,0,False,0,True,False,False,plain,209,209
2bb99ef9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
57&46 = 11&
30&66 = 36&
79&48 = 31&
Now, determine the result for: 88?93",8184,numeric_math_guess,3,&;&;&,"&: AbsDiff (pure, 0)","{""&"": {""symbol"": ""&"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 3, ""candidate_count"": 19, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 3], [[""rabs"", ""direct"", 0], 3], [[""rsub"", ""direct"", 0], 3], [[""rmod"", ""direct"", 0], 3], [[""maxmodmin"", ""direct"", 0], 3]]}}","?: Mul (pure, 0)","{""symbol"": ""?"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,True,False,False,False,False,absdiff: 0,diff: 0,0,mul,Mul,Mul,False,0,False,0,False,True,False,plain,8184,8184
a318ac11,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
53&36 = &89
97&91 = &188
43&74 = &117
72&42 = &114
16&21 = &37
Now, determine the result for: 91(64",5824,numeric_math_guess,5,&;&;&;&;&,"&: Add (pure, 0)","{""&"": {""symbol"": ""&"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 0, ""support"": 5, ""candidate_count"": 11, ""best_candidates"": [[[""add"", ""direct"", 0], 5], [[""add-1"", ""direct"", 0], 5], [[""add+1"", ""direct"", 0], 5], [[""digit_add_mod10"", ""direct"", 0], 5], [[""cross_mul_rev"", ""direct"", 0], 5]]}}","(: Mul (pure, 0)","{""symbol"": ""("", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,True,False,False,False,False,False,add: 0,add: 0,0,mul,Mul,Mul,False,0,True,3,True,False,False,plain,5824,5824
f5ea514f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
64&81 = 17
11&24 = 13
19&98 = 79
Now, determine the result for: 29)79",2291,numeric_math_guess,3,&;&;&,"&: AbsDiff (pure, 0)","{""&"": {""symbol"": ""&"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 3, ""candidate_count"": 4, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 3], [[""rabs"", ""direct"", 0], 3], [[""rsub"", ""direct"", 0], 3], [[""rmod"", ""direct"", 0], 3], [[""maxmodmin"", ""direct"", 0], 3]]}}","): Mul (pure, 0)","{""symbol"": "")"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""mul""}",pure,pure,False,False,False,False,False,False,absdiff: 0,diff: 0,0,mul,Mul,Mul,False,0,False,0,False,False,False,plain,2291,2291
56eeadb5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
99#42 = 57
57#31 = 26
87#87 = 00
24#30 = 93
49#23 = 26
Now, determine the result for: 84?13",8841,numeric_math_guess,5,#;#;#;#;#,"#: Sub (reverse, 0)","{""#"": {""symbol"": ""#"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 5, ""candidate_count"": 12, ""best_candidates"": [[[""sub"", ""reverse"", 0], 5], [[""sub-1"", ""reverse"", 0], 5], [[""sub+1"", ""reverse"", 0], 5], [[""absdiff"", ""reverse"", 0], 5], [[""rabs"", ""reverse"", 0], 5]]}}","?: Mul (reverse, 0)","{""symbol"": ""?"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,False,False,False,False,False,False,sub: 0,diff: 0,0,mul,Mul,Mul,False,0,True,5,False,False,False,plain,8841,8841
