id,prompt,answer,category,num_examples,example_symbols,example_char_operation_mapping,example_char_operation_mapping_json,question_char_operation_mapping,question_char_operation_mapping_json,example_logic,question_logic,example_has_prefix,example_has_suffix,question_has_prefix,question_has_suffix,example_has_negative,question_is_negative,example_offset_summary_exact_op,example_offset_summary_family,question_offset,question_best_family,question_best_exact_op,New Operations,row_has_outlier_example,row_outlier_example_count,row_has_complex_example,row_complex_example_count,diff_example_prefix_when_positive,diff_example_suffix_when_positive,diff_example_prefix_only_negative,question_output_style,question_raw_answer,question_clean_answer
053f4545,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
79-12 = 67
27-05 = 22
65-21 = 44
65?19 = 5905
Now, determine the result for: 06@77",731,numeric_math_guess,4,-;-;-;?,"-: Sub (reverse, 0) ; ?: Mul (reverse, -1)","{""-"": {""symbol"": ""-"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": 0, ""support"": 3, ""candidate_count"": 18, ""best_candidates"": [[[""sub"", ""direct"", 0], 3], [[""sub"", ""reverse"", 0], 3], [[""absdiff"", ""direct"", 0], 3], [[""absdiff"", ""reverse"", 0], 3], [[""rabs"", ""direct"", 0], 3]]}, ""?"": {""symbol"": ""?"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 1, ""candidate_count"": 2, ""best_candidates"": [[[""mul"", ""reverse"", -1], 1], [[""mul-1"", ""reverse"", 0], 1]]}}","@: Add (reverse, 0)","{""symbol"": ""@"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""add""}",reverse,reverse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mul: -1; sub: 0,diff: 0; mul: -1,0,add,Add,Add,FALSE,0,TRUE,4,FALSE,FALSE,FALSE,plain,731,731
065f9dea,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
19}15 = 1464
74!78 = 7874
64!23 = 2364
Now, determine the result for: 43*96",*53,numeric_math_guess,3,};!;!,"!: Concat (reverse, 0) ; }: Mul (reverse, 0)","{""!"": {""symbol"": ""!"", ""operation"": ""Concat"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 2, ""candidate_count"": 2, ""best_candidates"": [[[""concat"", ""reverse"", 0], 2], [[""rconcat"", ""direct"", 0], 2]]}, ""}"": {""symbol"": ""}"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 1, ""candidate_count"": 3, ""best_candidates"": [[[""mul"", ""reverse"", 0], 1], [[""mul-1"", ""reverse"", 1], 1], [[""mul+1"", ""reverse"", -1], 1]]}}","*: AbsDiff (pure, 0)","{""symbol"": ""*"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""diff""}",reverse,reverse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,concat: 0; mul: 0,concat: 0; mul: 0,0,diff,Sub,Sub,FALSE,0,TRUE,3,FALSE,FALSE,FALSE,prefix,*53,53
078df00e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
06+67 = 731
45+99 = 451
51-05 = -53
Now, determine the result for: 56*02",1031,numeric_math_guess,3,+;+;-,"+: Add (reverse, 1) ; -: Sub (reverse, 0)","{""+"": {""symbol"": ""+"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 2, ""best_candidates"": [[[""add"", ""reverse"", 1], 2], [[""add+1"", ""reverse"", 0], 2]]}, ""-"": {""symbol"": ""-"", ""operation"": ""Sub"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 1, ""candidate_count"": 3, ""best_candidates"": [[[""sub"", ""reverse"", 0], 1], [[""sub-1"", ""reverse"", 1], 1], [[""sub+1"", ""reverse"", -1], 1]]}}","*: Mul (reverse, 1)","{""symbol"": ""*"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 1, ""family"": ""mul""}",reverse,reverse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,add: 1; sub: 0,add: 1; diff: 0,1,mul,Mul,Mul+1,FALSE,0,TRUE,3,FALSE,FALSE,FALSE,plain,1031,1031
07aef27f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
73*57 = 6772
29*49 = 9468
56+16 = 1656
Now, determine the result for: 22-84",-62,numeric_math_guess,3,*;*;+,"*: Mul (reverse, 1) ; +: Concat (reverse, 0)","{""*"": {""symbol"": ""*"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 1, ""support"": 2, ""candidate_count"": 2, ""best_candidates"": [[[""mul"", ""reverse"", 1], 2], [[""mul+1"", ""reverse"", 0], 2]]}, ""+"": {""symbol"": ""+"", ""operation"": ""Concat"", ""logic"": ""reverse"", ""offset"": 0, ""support"": 1, ""candidate_count"": 2, ""best_candidates"": [[[""concat"", ""reverse"", 0], 1], [[""rconcat"", ""direct"", 0], 1]]}}","-: Sub (pure, 0)","{""symbol"": ""-"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""diff""}",reverse,reverse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,concat: 0; mul: 1,concat: 0; mul: 1,0,diff,Sub,Sub,FALSE,0,TRUE,3,FALSE,FALSE,FALSE,negative,-62,-62
0c0683c3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
21-75 = 54
39-42 = 3
56-50 = 6
70-11 = 59
14-90 = 76
Now, determine the result for: 79""59",138,numeric_math_guess,5,-;-;-;-;-,"-: AbsDiff (pure, 0)","{""-"": {""symbol"": ""-"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 3, ""candidate_count"": 21, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 5], [[""rabs"", ""direct"", 0], 5], [[""rsub"", ""direct"", 0], 3], [[""digit_absdiff"", ""direct"", 0], 2], [[""maxmodmin"", ""direct"", 0], 2]]}}",""": Add (pure, 0)","{""symbol"": ""\"""", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""add""}",pure,pure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,absdiff: 0; sub: 0,diff: 0,0,add,Add,Add,FALSE,0,TRUE,5,FALSE,FALSE,FALSE,plain,138,138
0f8452df,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
42$62 = $20
57@27 = 1539
66@48 = 3168
Now, determine the result for: 90:68",159,numeric_math_guess,3,$;@;@,"$: Sub (pure, 0) ; @: Mul (pure, 0)","{""$"": {""symbol"": ""$"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 1, ""candidate_count"": 8, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 1], [[""rsub"", ""direct"", 0], 1], [[""rabs"", ""direct"", 0], 1], [[""rmod"", ""direct"", 0], 1], [[""maxmodmin"", ""direct"", 0], 1]]}, ""@"": {""symbol"": ""@"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 3, ""best_candidates"": [[[""mul"", ""direct"", 0], 2], [[""mul-1"", ""direct"", 1], 2], [[""mul+1"", ""direct"", -1], 2]]}}",":: Add (pure, 1)","{""symbol"": "":"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 1, ""family"": ""add""}",pure,pure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,absdiff: 0; mul: 0,diff: 0; mul: 0,1,add,Add,Add+1,FALSE,0,TRUE,3,TRUE,FALSE,FALSE,plain,159,159
228bd26b,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
43!79 = 3397
58-47 = 11
84!32 = 2688
25-93 = 18
Now, determine the result for: 40/12",4012,numeric_math_guess,4,!;-;!;-,"!: Mul (pure, 0) ; -: Mod (pure, 0)","{""!"": {""symbol"": ""!"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 3, ""best_candidates"": [[[""mul"", ""direct"", 0], 2], [[""mul-1"", ""direct"", 1], 2], [[""mul+1"", ""direct"", -1], 2]]}, ""-"": {""symbol"": ""-"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": 0, ""support"": 1, ""candidate_count"": 24, ""best_candidates"": [[[""maxmodmin"", ""direct"", 0], 2], [[""sub"", ""direct"", 0], 1], [[""sub"", ""reverse"", 0], 1], [[""absdiff"", ""direct"", 0], 1], [[""absdiff"", ""reverse"", 0], 1]]}}","/: Concat (pure, 0)","{""symbol"": ""/"", ""operation"": ""Concat"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""concat""}",pure,pure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mul: 0; rmod: 0; sub: 0,diff: 0; mul: 0; rare: 0,0,concat,Concat,Concat,FALSE,0,TRUE,4,FALSE,FALSE,FALSE,plain,4012,4012
1b019515,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
76<97 = 7373
93!27 = !66
25!54 = !29
Now, determine the result for: 57&77",134,numeric_math_guess,3,<;!;!,"!: Sub (pure, 0) ; <: Mul (pure, 1)","{""!"": {""symbol"": ""!"", ""operation"": ""Sub"", ""logic"": ""pure"", ""offset"": 0, ""support"": 1, ""candidate_count"": 9, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 2], [[""rabs"", ""direct"", 0], 2], [[""sub"", ""direct"", 0], 1], [[""sub-1"", ""direct"", 1], 1], [[""sub+1"", ""direct"", -1], 1]]}, ""<"": {""symbol"": ""<"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 1, ""support"": 1, ""candidate_count"": 2, ""best_candidates"": [[[""mul"", ""direct"", 1], 1], [[""mul+1"", ""direct"", 0], 1]]}}","&: Add (pure, 0)","{""symbol"": ""&"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": 0, ""family"": ""add""}",pure,pure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,absdiff: 0; mul: 1; sub: 0,diff: 0; mul: 1,0,add,Add,Add,FALSE,0,TRUE,3,TRUE,FALSE,FALSE,plain,134,134
1b3beb8f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
80[32 = 16
49[33 = 16
82[20 = 2
76*52 = 3952
61*24 = 1464
Now, determine the result for: 87|22",108,numeric_math_guess,5,[;[;[;*;*,"*: Mul (pure, 0) ; [: Mod (pure, 0)","{""*"": {""symbol"": ""*"", ""operation"": ""Mul"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 3, ""best_candidates"": [[[""mul"", ""direct"", 0], 2], [[""mul-1"", ""direct"", 1], 2], [[""mul+1"", ""direct"", -1], 2]]}, ""["": {""symbol"": ""["", ""operation"": ""Mod"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 22, ""best_candidates"": [[[""mod"", ""direct"", 0], 3], [[""maxmodmin"", ""direct"", 0], 3], [[""cross_mul_rev"", ""direct"", 0], 1], [[""det"", ""direct"", 0], 1], [[""absdet"", ""direct"", 0], 1]]}}","|: Add (pure, -1)","{""symbol"": ""|"", ""operation"": ""Add"", ""logic"": ""pure"", ""offset"": -1, ""family"": ""add""}",pure,pure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mod: 0; mul: 0; sub: 0,diff: 0; mul: 0; rare: 0,-1,add,Add,Add-1,FALSE,0,TRUE,5,FALSE,FALSE,FALSE,plain,108,108
1c4861e6,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
03-59 = 56
63-87 = 24
72+49 = 021
66-15 = 51
Now, determine the result for: 12*91",993,numeric_math_guess,4,-;-;+;-,"+: Add (reverse, -1) ; -: AbsDiff (reverse, 0)","{""+"": {""symbol"": ""+"", ""operation"": ""Add"", ""logic"": ""reverse"", ""offset"": -1, ""support"": 1, ""candidate_count"": 2, ""best_candidates"": [[[""add"", ""reverse"", -1], 1], [[""add-1"", ""reverse"", 0], 1]]}, ""-"": {""symbol"": ""-"", ""operation"": ""AbsDiff"", ""logic"": ""pure"", ""offset"": 0, ""support"": 2, ""candidate_count"": 21, ""best_candidates"": [[[""absdiff"", ""direct"", 0], 3], [[""absdiff"", ""reverse"", 0], 3], [[""rabs"", ""direct"", 0], 3], [[""rabs"", ""reverse"", 0], 3], [[""digit_absdiff"", ""direct"", 0], 3]]}}","*: Mul (reverse, 0)","{""symbol"": ""*"", ""operation"": ""Mul"", ""logic"": ""reverse"", ""offset"": 0, ""family"": ""mul""}",reverse,reverse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,absdiff: 0; add: -1; sub: 0,add: -1; diff: 0,0,mul,Mul,Mul,FALSE,0,TRUE,4,FALSE,FALSE,FALSE,plain,993,993
